X,Y
13.200001,12.392132
13.157144,12.429017
13.285715,12.576558
13.157144,12.724099
13.114286,12.687214
13.071429,12.724099
12.985715,12.724099
12.942858,12.687214
12.771429,12.760984
12.642858,12.760984
12.600000,12.724099
12.514286,12.797870
12.428572,12.797870
12.385715,12.834755
12.300000,12.834755
12.128572,12.908525
11.957143,12.908525
11.871428,12.834755
11.871428,12.687214
11.957143,12.613443
11.914286,12.576558
11.914286,12.244591
12.000000,12.133935
11.957143,12.097050
11.957143,11.838853
11.914286,11.801968
11.914286,11.654427
11.957143,11.617541
11.914286,11.580656
11.914286,11.506886
11.957143,11.470000
11.871428,11.396230
11.914286,11.322459
11.828571,11.248689
11.828571,11.138033
11.700001,10.953607
11.742858,10.916721
11.571429,10.769181
11.571429,10.695411
11.185715,10.400329
11.100000,10.400329
10.971429,10.326558
10.928572,10.363443
10.800000,10.363443
10.628572,10.437214
10.414286,10.584755
10.414286,10.621640
10.285714,10.732296
10.242857,10.842952
10.157144,10.916721
10.200000,10.953607
10.200000,11.027377
10.157144,11.064262
10.157144,11.174918
10.071429,11.285574
10.114286,11.322459
10.114286,11.433115
10.071429,11.470000
10.114286,11.506886
10.114286,11.728197
10.200000,11.838853
10.200000,12.097050
10.242857,12.133935
10.200000,12.207705
10.285714,12.244591
10.371428,12.355247
10.542857,12.392132
10.800000,12.613443
10.757143,12.687214
10.842857,12.834755
11.185715,13.129837
11.271429,13.166722
11.314286,13.129837
11.571429,13.129837
11.871428,12.908525
12.128572,12.908525
12.171429,12.871640
12.257143,12.871640
12.428572,12.797870
12.600000,12.797870
12.642858,12.760984
12.771429,12.760984
12.814286,12.724099
12.900001,12.724099
12.942858,12.760984
12.985715,12.724099
